web-scraper-order,web-scraper-start-url,single,single-href,Title,Ratings,Price,Offers,Box,picture1-src,picture2-src,picture3-src,About
1700204435-1,https://www.amazon.in/s?k=desktop+computers&page=20&crid=1QPBJ9EOX9220&qid=1700201738&sprefix=%2Caps%2C265&ref=sr_pg_2,Zoonis I5 Gaming Pc Complete Computer System for Gaming (Core i5 Processor/DDR3 16GB RAM /512GB SSD/GT 710 2GB Graphics/19 inch inch HD Led Monitor/Gaming Keyboard Mouse/Windows 10/WiFi,https://www.amazon.in/Zoonis-Complete-Computer-Processor-Graphics/dp/B0CCXVCCQD/ref=sr_1_308?crid=1QPBJ9EOX9220&keywords=desktop+computers&qid=1700204425&sprefix=%2Caps%2C265&sr=8-308,Zoonis I5 Gaming Pc Complete Computer System for Gaming (Core i5 Processor/DDR3 16GB RAM /512GB SSD/GT 710 2GB Graphics/19 inch inch HD Led Monitor/Gaming Keyboard Mouse/Windows 10/WiFi,3,"19,999",-60%,Monitor,https://m.media-amazon.com/images/I/71W28OEPGGL.jpg,,,"<li class=""a-spacing-mini""><span class=""a-list-item""> Core i5-2400 (3.40)Ghz OME Processor with Base Frequency 3.10GHz, Max Turbo 3.46GHz, 4Cores, 4 Threads, 6MB Smart-cache  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> H61Motherboard with VGA, HDMI, 6x 2.0 USB Ports  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 8GB DDR3 Ram 512GB SSD GT 710 2GB GRAPHIC CARD USB Wi-Fi  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 19 LED Full HD Monitor Gaming Keyboard &amp; Mouse Combo  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Windows 10 OS (trial) /Bluestrack 4.0 Ready to Use System. Already installed Assembled and activated Windows 10(trial) &amp; Updated all drivers  </span></li>"
1700204443-2,https://www.amazon.in/s?k=desktop+computers&page=20&crid=1QPBJ9EOX9220&qid=1700201738&sprefix=%2Caps%2C265&ref=sr_pg_2,(Refurbished) LenovoThinkcentre Desktop Mini Pc (Intel Core I5 6Th Gen|8 Gb Ddr4 Ram|500 Gb Hdd|Wifi|Windows 11|Ms Office)Black,https://www.amazon.in/Renewed-Lenovo-ThinkCentre-Desktop-Windows/dp/B0BFWKQ84W/ref=sr_1_307?crid=1QPBJ9EOX9220&keywords=desktop+computers&qid=1700204425&sprefix=%2Caps%2C265&sr=8-307,(Refurbished) LenovoThinkcentre Desktop Mini Pc (Intel Core I5 6Th Gen|8 Gb Ddr4 Ram|500 Gb Hdd|Wifi|Windows 11|Ms Office)Black,3.5,"10,990",-85%,Monitor,https://m.media-amazon.com/images/I/31zKpKpPGYL.jpg,,,"<li class=""a-spacing-mini""><span class=""a-list-item""> Lenovo Thinkcentre High Performance Mini Pc Secure, Scalable And Robust Architecture With Limitless Expansion Possibilities. This Desktop Computer Has Features Like Intel I5 6Th Gen Processor With 2 Ghz Upto 8 Ghz With Intel Turbo Boost Technology, 8 Gb Ddr4 Ram, 500 Gb Hdd Making It The Perfect Mini Desktop Pc To Carry Out All Tasks In One Place.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Comes With A Variety Of Ports For All Possible Needs,Usb 30,Dp, Audio In/Out Port Wifi Dongle Included  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Enjoy High End Business Class Performance With Core I5 6400T, Upto 4 Ghz Turbo Boost, Quad Core Power By Intel Turbo Boost Technology.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Special Feature: Ergonomic Design  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> It Comes Preinstalled With Windows 11 And Ms Office.  </span></li>"
1700204453-3,https://www.amazon.in/s?k=desktop+computers&page=19&crid=1QPBJ9EOX9220&qid=1700201738&sprefix=%2Caps%2C265&ref=sr_pg_2,"(Refurbished) ASUS Chromebox 3 High Performance Mini PC (Intel Core i7 8th gen, 8 GB DDR4 RAM, 256 GB SSD, Windows 11, WiFi, MS Office|Intel HD Graphics|USB Type-C,HDMI,4K), Black",https://www.amazon.in/Renewed-ASUS-Chromebox-Performance-Graphics/dp/B0B6WGVKK1/ref=sr_1_308?crid=1QPBJ9EOX9220&keywords=desktop+computers&qid=1700204442&sprefix=%2Caps%2C265&sr=8-308,"(Refurbished) ASUS Chromebox 3 High Performance Mini PC (Intel Core i7 8th gen, 8 GB DDR4 RAM, 256 GB SSD, Windows 11, WiFi, MS Office|Intel HD Graphics|USB Type-C,HDMI,4K), Black",4,"15,498",-83%,,https://m.media-amazon.com/images/I/41JTyWDSBXL.jpg,,,"<li class=""a-spacing-mini""><span class=""a-list-item""> Asus Chromebox 3 Business Class Mini Pc Secure, Scalable And Robust Architecture With Limitless Expansion Possibilities. This Desktop Computer Has Features Like Intel I7 8Th Gen Processor With 1.8 Ghz Up To 4 Ghz With Intel Turbo Boost Technology  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 8 Gb Ddr4 Ram, 256 Gb Ssd Making It The Perfect Mini Desktop Pc To Carry Out All Tasks In One Place 6 Month Extendable Pan India Warranty. Experience Hassle Free Ownership, With Out Pan India Comprehensive Warranty Covering Component  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Asus Chromebox 3 Supports Dual Displays Via Hdmi And Usb Type-C Making Multitasking A Whole Lot Easier, It Comes Pre Installed With Windows 11 And Ms Office  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Comes With A Variety Of Ports For All Possible Needs Like: Usb Type-C, Usb, Hdmi,Lan Port,Audio In/Out Port. Hardware Platform: Windows. Extend Your Warranty Upto 2+ Years  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Enjoy High End Business Class Performance With The Intel Core I7 8550U 1.8 Ghz Up To 4 Ghz Turbo Boost Processor+^+8 Mb Cache And Integrated Intel Uhd 620 Graphics For Fast Processing, Making It A Power-Horse For Multi Tasking.  </span></li>"
1700204462-4,https://www.amazon.in/s?k=desktop+computers&page=19&crid=1QPBJ9EOX9220&qid=1700201738&sprefix=%2Caps%2C265&ref=sr_pg_2,"HP Pavilion All-in-One 12th Gen Intel Core i5-12400T 31.5 inches(80.01cm) QHD, IPS, 3 Sided Micro-Edge Display(8GB RAM/512GB SSD/WiFi 6/B&O Audio/Win 11/5 MP Camera/MS Office 2021, 32-b0390in, Black",https://www.amazon.in/HP-Pavilion-AIO-i5-80-01cm-Micro-Edge/dp/B09SG7C8N1/ref=sr_1_307?crid=1QPBJ9EOX9220&keywords=desktop+computers&qid=1700204442&sprefix=%2Caps%2C265&sr=8-307,"HP Pavilion All-in-One 12th Gen Intel Core i5-12400T 31.5 inches(80.01cm) QHD, IPS, 3 Sided Micro-Edge Display(8GB RAM/512GB SSD/WiFi 6/B&O Audio/Win 11/5 MP Camera/MS Office 2021, 32-b0390in, Black",2.9,"93,888",-18%,"Desktop PC, WirelessKeyboard &amp; mouse",https://m.media-amazon.com/images/I/81lMO9PAJVL.jpg,,,"<li class=""a-spacing-mini""><span class=""a-list-item""> Do Check Partner offer section for Exciting offers from HP.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Processor: Intel Core i5-12400T (1.8 GHz base frequency, up to 4.2 GHz with Intel Turbo Boost Technology, 18 MB L3 cache, 6 cores, 12 threads)  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Display: 80.01 cm (31.5"") diagonal, QHD (2560 x 1440), IPS, three-sided microedge,Brightview, 350 nits, 99% sRGB| Memory &amp; Storage: 8 GB DDR4-3200 MHz RAM (1 x 8 GB)| Storage: 512 GB PCIe NVMe TLC M.2 SSD| Expansion Slots: 2 M.2 (1 for SSD, 1 for WLAN)  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Operating System &amp; Software: Windows 11 Home| Microsoft Office Home &amp; Student 2021| McAfee LiveSafe  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Networking &amp; Graphics : Integrated 10/100/1000 GbE LAN, Intel Wi-Fi 6 AX 201 (2x2) and Bluetooth 5 combo (Supporting Gigabit file transfer speeds)|Graphics: Intel UHD Graphics 730  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Other Features: Ports: 1 SuperSpeed USB Type-C 5Gbps signaling rate; 2 SuperSpeed USB Type-A 10Gbps signaling rate; 1 SuperSpeed USB Type-A 5Gbps signaling rate; 1 RJ-45| Audio: Audio by B&amp;O; 6 speakers (2 tweeter, 2 mid range, 2 woofer)| Keyboard: HP 710 Black Wireless Keyboard and mouse combo  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> In an unlikely case of product quality related issue, we may ask you to reach out to brand’s customer service support and seek resolution. We will require brand proof of issue to process replacement request.  </span></li>"
1700204473-5,https://www.amazon.in/s?k=desktop+computers&page=19&crid=1QPBJ9EOX9220&qid=1700201738&sprefix=%2Caps%2C265&ref=sr_pg_2,"(Refurbished) Dell Optiplex 790 Desktop (Intel Core i3 /8 GB RAM / 500 GB HDD/ Windows 10 Pro , MS Office/Intel Q65 Express Chipset/DVD R/W, USB, Ethernet,VGA,Audio), Black",https://www.amazon.in/Renewed-Dell-Optiplex-Desktop-Ethernet/dp/B08XQTNQ1D/ref=sr_1_306?crid=1QPBJ9EOX9220&keywords=desktop+computers&qid=1700204442&sprefix=%2Caps%2C265&sr=8-306,"(Refurbished) Dell Optiplex 790 Desktop (Intel Core i3 /8 GB RAM / 500 GB HDD/ Windows 10 Pro , MS Office/Intel Q65 Express Chipset/DVD R/W, USB, Ethernet,VGA,Audio), Black",3.4,"9,114",-69%,"Cpu,Power Cord",https://m.media-amazon.com/images/I/71TpWOD+UwL.jpg,,,"<li class=""a-spacing-mini""><span class=""a-list-item""> Product Type - Cellular Phone  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Item Package Quantity - 1  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Ram Size - 8 Gb  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Storage - 128 Gb  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Form Factor: Small Form Factor  </span></li>"
1700204479-6,https://www.amazon.in/s?k=desktop+computers&page=19&crid=1QPBJ9EOX9220&qid=1700201738&sprefix=%2Caps%2C265&ref=sr_pg_2,Cyntexia Computer Desktop PC (Core i5-4570 || 16GB RAM || 512GB SSD || HDMI || VGA || Ethernet || 710 2GB DDR3 GPU || USB 3.0 || Win 11) Basic Software Installed,https://www.amazon.in/Cyntexia-Computer-Ethernet-710-Installed/dp/B0C1TBH3J3/ref=sr_1_305?crid=1QPBJ9EOX9220&keywords=desktop+computers&qid=1700204442&sprefix=%2Caps%2C265&sr=8-305,Cyntexia Computer Desktop PC (Core i5-4570 || 16GB RAM || 512GB SSD || HDMI || VGA || Ethernet || 710 2GB DDR3 GPU || USB 3.0 || Win 11) Basic Software Installed,3.8,"20,899",-30%,Desktop Tower,https://m.media-amazon.com/images/I/61xQrgU2GsL.jpg,,,"<li class=""a-spacing-mini""><span class=""a-list-item""> Core i5 - 4570 (3.2 Ghz) (4 Cores, 6MB SmartCache) With H81 Chipset MotherBoard (4th Generation) + 16GB DDR3 RAM (2 x 8) With 512GB SSD + N-vidia 710 2GB DDR3 GPU  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> USB at Back : 6 USB 2.0, at Front : 2 USB2.0, with VGA and HDMI Montior Port, 1 RJ45 Ethernet Port 10/100 Mbps, 1 Audio Jack (3-1).  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> OnBoard Interface : 4 SATA II Port, 1 Front Panel Connector. Expansion Slot : 1 PCI Express X16 Slot.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Operating System (Win 11) and Basic Software (Drivers, MS office, Google Chrome, VLC Player and More) are installed.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Just Plug and Start (Only Trial Version Software, Not Licensed )  </span></li>"
1700204486-7,https://www.amazon.in/s?k=desktop+computers&page=19&crid=1QPBJ9EOX9220&qid=1700201738&sprefix=%2Caps%2C265&ref=sr_pg_2,"Core I7 Complete Desktop Pc For Home&Business (Core I7 2Nd Generation,8Gb Ram/256Gb Ssd/1Tb Hdd)Windows 10 Pro,Intel,Black",https://www.amazon.in/Complete-Desktop-Business-Generation-256GB/dp/B0BPNJYKVR/ref=sr_1_304?crid=1QPBJ9EOX9220&keywords=desktop+computers&qid=1700204442&sprefix=%2Caps%2C265&sr=8-304,"Core I7 Complete Desktop Pc For Home&Business (Core I7 2Nd Generation,8Gb Ram/256Gb Ssd/1Tb Hdd)Windows 10 Pro,Intel,Black",3.4,"22,990",-34%,Keybord,https://m.media-amazon.com/images/I/711Oh7-BzdL.jpg,,,"<li class=""a-spacing-mini""><span class=""a-list-item""> Core i7 High Speed Processor 2nd / 6th Generation  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Motherboard H61 / H110  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> RAM - SSD - HDD Please Select Size From Varients  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 18.5"" Led Screen Keyboard &amp; Mouse Combo  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Windows 10 Pro 64 Bit with Basic Softwares Required for Day to Day Use.  </span></li>"
1700204494-8,https://www.amazon.in/s?k=desktop+computers&page=19&crid=1QPBJ9EOX9220&qid=1700201738&sprefix=%2Caps%2C265&ref=sr_pg_2,"HP OMEN 25L Gaming Desktop PC with Latest 12th Gen Intel Core i7 Processor (HyperX 16GB RAM/1TB HHD/512GB SSD/NVIDIA GeForce RTX 3070 8GB Graphics/Win 11/MSO/Xbox Game Pass),GT15-0004in, Shadow Black",https://www.amazon.in/HP-Desktop-Processor-Graphics-GT15-0004in/dp/B09Z6WQ83D/ref=sr_1_303?crid=1QPBJ9EOX9220&keywords=desktop+computers&qid=1700204442&sprefix=%2Caps%2C265&sr=8-303,"HP OMEN 25L Gaming Desktop PC with Latest 12th Gen Intel Core i7 Processor (HyperX 16GB RAM/1TB HHD/512GB SSD/NVIDIA GeForce RTX 3070 8GB Graphics/Win 11/MSO/Xbox Game Pass),GT15-0004in, Shadow Black",,"2,24,809",-10%,"Desktop PC,",https://m.media-amazon.com/images/I/61S5WTyjPdL.jpg,,,"<li class=""a-spacing-mini""><span class=""a-list-item""> Processor: Intel Core i7-12700F (2.1 GHz base frequency, up to 4.9 GHz with Intel Turbo Boost Technology,25 MB L3 cache, 12 cores, 20 threads) Base/Max Freq: 2.1/4.9 GHz  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Memory &amp; Storage: HyperX 16 GB DDR4-3200 MHz XMP RGB Heatsink RAM (2 x 8 GB) |1 TB 7200 rpm SATA HDD, 512 GB WD Black PCIe NVMe TLC M.2 SSD  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Operating System &amp; Software: Windows 11 Home 64 Plus Single Language | Microsoft Office Home &amp; Student 2021  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Graphics: NVIDIA GeForce RTX 3070 (8 GB GDDR6 dedicated) with LHR | Networking: Integrated 10/100/1000 GbE LAN, Intel Wi-Fi 6 AX 201 (2x2) and Bluetooth 5 combo (Supporting Gigabit data rate)  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Ports: Top: 2 SuperSpeed USB Type-A 5Gbps signaling rate|Rear: 4 USB 2.0 Type-A, 1 SuperSpeed USB Type-C 5Gbps signaling rate,1 SuperSpeed USB Type-C 10Gbps signaling rate,1 RJ-45| Expansion Slots: 1 PCI Express Slots (1 x16 lanes PCI-E Gen4 ), 3 M.2 Expansion Slots (2 for SSD; 1 for WLAN)  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> In an unlikely case of product quality related issue, we may ask you to reach out to brand’s customer service support and seek resolution. We will require brand proof of issue to process replacement request.  </span></li>"
1700204499-9,https://www.amazon.in/s?k=desktop+computers&page=19&crid=1QPBJ9EOX9220&qid=1700201738&sprefix=%2Caps%2C265&ref=sr_pg_2,"(Refurbished) Dell optiplex 3060 i3-8100 Tiny Desktop Set (core i3 8th Gen/8GB DDR4 RAM/512 GB SSD/19"" Dell Monitor) + Keyboard/ Mouse/Wifi/Webcam+Mic/Speaker/USB/Win 11 upgraded",https://www.amazon.in/Dell-optiplex-3060-Keyboard-upgraded/dp/B0B9RTR8QW/ref=sr_1_302?crid=1QPBJ9EOX9220&keywords=desktop+computers&qid=1700204442&sprefix=%2Caps%2C265&sr=8-302,"(Refurbished) Dell optiplex 3060 i3-8100 Tiny Desktop Set (core i3 8th Gen/8GB DDR4 RAM/512 GB SSD/19"" Dell Monitor) + Keyboard/ Mouse/Wifi/Webcam+Mic/Speaker/USB/Win 11 upgraded",,,,1 Unit Tiny PC,https://m.media-amazon.com/images/I/61D4s7mIdUL.jpg,,,"<li class=""a-spacing-mini""><span class=""a-list-item""> Processor Details: Intel Core Processor  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Container Type: Box  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Preinstalled Software: None | In The Box: Pc, Adapter, User Manual  </span></li>"
1700204504-10,https://www.amazon.in/s?k=desktop+computers&page=19&crid=1QPBJ9EOX9220&qid=1700201738&sprefix=%2Caps%2C265&ref=sr_pg_2,"(Refurbished) Dell Optiplex 3020 Desktop Computer PC (Intel Core i5 4th Gen, 16 GB RAM, 256 GB SSD, Windows 10 Pro, MS Office, Intel HD Graphics, USB, VGA), Black",https://www.amazon.in/Refurbished-Dell-Optiplex-Computer-Graphics/dp/B0C5HSKGQV/ref=sr_1_301?crid=1QPBJ9EOX9220&keywords=desktop+computers&qid=1700204442&sprefix=%2Caps%2C265&sr=8-301,"(Refurbished) Dell Optiplex 3020 Desktop Computer PC (Intel Core i5 4th Gen, 16 GB RAM, 256 GB SSD, Windows 10 Pro, MS Office, Intel HD Graphics, USB, VGA), Black",3.9,"13,148",-86%,mouse,https://m.media-amazon.com/images/I/610GalK0HKL.jpg,,,"<li class=""a-spacing-mini""><span class=""a-list-item""> Fast Processing: The Intel Core i5 4570 3.2 GHz up to 3.6 GHz with Intel Turbo Boost processor along with 6 MB Cache and integrated Intel graphics provide fast processing, making it a powerhorse for most tasking needs. Enjoy High End Business Class performance in this Desktop Computer PC.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Robust Security: Dell OptiPlex Business Class Desktop computer offers secure, scalable and robust architecture with limitless expansion possibilities.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Efficient Performance: It has 16 GB RAM with 256 GB SSD for Fast Processing and efficient performance.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> Mutltiple Ports: Comes with a variety of ports for all possible needs, USB, parallel, serial connectors, VGA, esata, display port, keyboard, mouse connector, PCI express X16. It also comes pre installed with Windows 10 Pro and MS Office 19.  </span></li>  <li class=""a-spacing-mini""><span class=""a-list-item""> 6 months Warranty: Experience hassle free ownership, with our 6 month extendable warranty covering component,labor and shipping (If required).  </span></li>"
