web-scraper-order,web-scraper-start-url,single,single-href,Title,Ratings,Price,Offers,Box,picture1-src,picture2-src,About
1700214634-1,https://www.flipkart.com/search?q=desktop+computers&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,Frontech allinone3 Pentium Dual Core (4 GB DDR2/500 GB/...,https://www.flipkart.com/frontech-allinone3-pentium-dual-core-4-gb-ddr2-500-gb-windows-7-ultimate-4-gb-15-4-inch-screen-dc1/p/itm931536146a333?pid=AIOFNYRQH6P9962F&lid=LSTAIOFNYRQH6P9962FVVFHRJ&marketplace=FLIPKART&q=desktop+computers&store=6bo%2Fnl4%2Figk&srno=s_12_480&otracker=search&otracker1=search&iid=dc8fa9af-4245-46ff-8ab7-0799599cbc83.AIOFNYRQH6P9962F.SEARCH&ssid=sw01cqmkgw0000001700214625750&qH=dd8c3f9e0ee58493,"Frontech allinone3 Pentium Dual Core (4 GB DDR2/500 GB/Windows 7 Ultimate/4 GB/15.4 Inch Screen/dc1)  (Black, Red)",,"14,490",42% off,"1 cpu, 1 keybord, 1 mouse, 1 moniter",https://rukminim2.flixcart.com/image/416/416/k5r2mq80/allinone-desktop/8/g/b/frontech-fropc1-original-imafnz43rmgjurst.jpeg?q=70,https://rukminim2.flixcart.com/image/416/416/k5r2mq80/allinone-desktop/8/g/b/frontech-fropc1-original-imafnz43rmgjurst.jpeg?q=70,"<div class=""_3a9CI2"">Highlights</div><div class=""_2418kt""><ul><li class=""_21Ahn-"">Windows 7 Ultimate</li><li class=""_21Ahn-"">Intel Pentium Dual Core</li><li class=""_21Ahn-"">HDD Capacity 500 GB</li><li class=""_21Ahn-"">RAM 4 GB DDR2</li><li class=""_21Ahn-"">15.4 inch Display</li></ul></div>"
1700214637-2,https://www.flipkart.com/search?q=desktop+computers&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,Nextron NEXI3 Core i3 (4 GB DDR3/500 GB/Windows 7 Ultim...,https://www.flipkart.com/nextron-nexi3-core-i3-4-gb-ddr3-500-gb-windows-7-ultimate-15-4-inch-screen-i3165/p/itm6b4435c173eb1?pid=AIOG4XMK6KGMAZME&lid=LSTAIOG4XMK6KGMAZME43SVKC&marketplace=FLIPKART&q=desktop+computers&store=6bo%2Fnl4%2Figk&srno=s_12_479&otracker=search&otracker1=search&iid=dc8fa9af-4245-46ff-8ab7-0799599cbc83.AIOG4XMK6KGMAZME.SEARCH&ssid=sw01cqmkgw0000001700214625750&qH=dd8c3f9e0ee58493,Nextron NEXI3 Core i3 (4 GB DDR3/500 GB/Windows 7 Ultimate/15.4 Inch Screen/I3165)  (Bnlack),,"14,590",55% off,"1 CPU, 1 LED Monitor 15.4"", 1 USB Keyboard, 1 USB Mouse",https://rukminim2.flixcart.com/image/416/416/kr2e3680/allinone-desktop/l/y/u/i3165-nextron-original-imag4xmkzedxfzm2.jpeg?q=70,https://rukminim2.flixcart.com/image/416/416/kr2e3680/allinone-desktop/l/y/u/i3165-nextron-original-imag4xmkzedxfzm2.jpeg?q=70,"<div class=""_3a9CI2"">Highlights</div><div class=""_2418kt""><ul><li class=""_21Ahn-"">Windows 7 Ultimate</li><li class=""_21Ahn-"">Intel Core i3</li><li class=""_21Ahn-"">HDD Capacity 500 GB</li><li class=""_21Ahn-"">RAM 4 GB DDR3</li><li class=""_21Ahn-"">15.4 inch Display</li></ul></div>"
1700214640-3,https://www.flipkart.com/search?q=desktop+computers&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,Tram 5 APU Quad Core A10 (4 GB DDR2/1 TB/Windows 10 Pro...,https://www.flipkart.com/tram-5-apu-quad-core-a10-4-gb-ddr2-1-tb-windows-10-pro-2-gb-24-inch-screen-cpu/p/itm13768886bc9ed?pid=AIOGRYYZYHHWAYXR&lid=LSTAIOGRYYZYHHWAYXRMVBIB9&marketplace=FLIPKART&q=desktop+computers&store=6bo%2Fnl4%2Figk&srno=s_12_478&otracker=search&otracker1=search&iid=dc8fa9af-4245-46ff-8ab7-0799599cbc83.AIOGRYYZYHHWAYXR.SEARCH&ssid=sw01cqmkgw0000001700214625750&qH=dd8c3f9e0ee58493,Tram 5 APU Quad Core A10 (4 GB DDR2/1 TB/Windows 10 Pro/2 GB/24 Inch Screen/CPU)  (Black),,"25,999",13% off,1,https://rukminim2.flixcart.com/image/416/416/xif0q/allinone-desktop/x/l/s/cpu-tram-original-imagryyzwruhmwja.jpeg?q=70,https://rukminim2.flixcart.com/image/416/416/xif0q/allinone-desktop/x/l/s/cpu-tram-original-imagryyzwruhmwja.jpeg?q=70,"<div class=""_3a9CI2"">Highlights</div><div class=""_2418kt""><ul><li class=""_21Ahn-"">Windows 10 Pro</li><li class=""_21Ahn-"">Intel APU Quad Core A10</li><li class=""_21Ahn-"">HDD Capacity 1 TB</li><li class=""_21Ahn-"">RAM 4 GB DDR2</li><li class=""_21Ahn-"">24 inch Display</li></ul></div>"
1700214644-4,https://www.flipkart.com/search?q=desktop+computers&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,ZOONIS Z SERIES Core 2 Duo (4 GB DDR3/320 GB/120 GB SSD...,https://www.flipkart.com/zoonis-z-series-core-2-duo-4-gb-ddr3-320-gb-120-ssd-windows-7-professional-512-mb-18-5-inch-screen-4gb-ddr3-ram-320gb-hdd-wifi-dvd-rom-18-5-led-ms-office/p/itm662cfe59d1550?pid=AIOGYPB6NTGSQV5J&lid=LSTAIOGYPB6NTGSQV5JPNPJQS&marketplace=FLIPKART&q=desktop+computers&store=6bo%2Fnl4%2Figk&srno=s_12_477&otracker=search&otracker1=search&iid=dc8fa9af-4245-46ff-8ab7-0799599cbc83.AIOGYPB6NTGSQV5J.SEARCH&ssid=sw01cqmkgw0000001700214625750&qH=dd8c3f9e0ee58493,ZOONIS Z SERIES Core 2 Duo (4 GB DDR3/320 GB/120 GB SSD/Windows 7 Professional/512 MB/18.5 Inch Screen/4GB DDR3 RAM/320GB HDD/WIFI/DVD ROM/18.5 LED) with MS Office  (Black),2.7,"16,999",43% off,"CPU, LED,KEYBOARD MOUSE, WIFI, DVD ROM",https://rukminim2.flixcart.com/image/416/416/kjq1mkw0-0/cpu/m/p/r/ma-10-8gb-500gb-120ssd-i5-3rd-500-zoonis-original-imafz7zbhcgmkbwg.jpeg?q=70,https://rukminim2.flixcart.com/image/416/416/kjq1mkw0-0/cpu/m/p/r/ma-10-8gb-500gb-120ssd-i5-3rd-500-zoonis-original-imafz7zbhcgmkbwg.jpeg?q=70,"<div class=""_3a9CI2"">Highlights</div><div class=""_2418kt""><ul><li class=""_21Ahn-"">Windows 7 Professional</li><li class=""_21Ahn-"">Intel Core 2 Duo</li><li class=""_21Ahn-"">HDD Capacity 320 GB</li><li class=""_21Ahn-"">RAM 4 GB DDR3</li><li class=""_21Ahn-"">18.5 inch Display</li></ul></div>"
1700214647-5,https://www.flipkart.com/search?q=desktop+computers&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,ZOONIS Tornado Light Core i3 (4 GB DDR3/256 GB SSD/Wind...,https://www.flipkart.com/zoonis-tornado-light-core-i3-4-gb-ddr3-256-ssd-windows-10-pro-customer-can-add-18-5-inch-screen-ma-10-ms-office/p/itmc220f2690e9ba?pid=AIOGGAKGMU5RGFXP&lid=LSTAIOGGAKGMU5RGFXP77BGKX&marketplace=FLIPKART&q=desktop+computers&store=6bo%2Fnl4%2Figk&srno=s_12_476&otracker=search&otracker1=search&iid=dc8fa9af-4245-46ff-8ab7-0799599cbc83.AIOGGAKGMU5RGFXP.SEARCH&ssid=sw01cqmkgw0000001700214625750&qH=dd8c3f9e0ee58493,ZOONIS Tornado Light Core i3 (4 GB DDR3/256 GB SSD/Windows 10 Pro/customer CAN add/18.5 Inch Screen/MA-10) with MS Office  (Black),,"14,999",40% off,"1x LED 1x Keyboard Mouse 1 x Tower PC, 1 x Power Cord, 1 x Warranty Card, Download on Brand website 1 x Wi-Fi Dongle",https://rukminim2.flixcart.com/image/416/416/xif0q/allinone-desktop/p/g/z/ma-10-zoonis-original-imaggakgjghqsuwn.jpeg?q=70,https://rukminim2.flixcart.com/image/416/416/xif0q/allinone-desktop/p/g/z/ma-10-zoonis-original-imaggakgjghqsuwn.jpeg?q=70,"<div class=""_3a9CI2"">Highlights</div><div class=""_2418kt""><ul><li class=""_21Ahn-"">Windows 10 Pro</li><li class=""_21Ahn-"">Intel Core i3</li><li class=""_21Ahn-"">RAM 4 GB DDR3</li><li class=""_21Ahn-"">18.5 inch Display</li></ul></div>"
1700214651-6,https://www.flipkart.com/search?q=desktop+computers&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,Kundancomputers 2 APU Dual Core A4 (2 GB DDR3/500 GB/An...,https://www.flipkart.com/kundancomputers-2-apu-dual-core-a4-2-gb-ddr3-500-gb-android-v4-0-ice-cream-sandwich-8-gb-54-inch-screen-computers/p/itm730458cb65638?pid=AIOGQXYC5ACXQE5Z&lid=LSTAIOGQXYC5ACXQE5Z0YQROC&marketplace=FLIPKART&q=desktop+computers&store=6bo%2Fnl4%2Figk&srno=s_12_475&otracker=search&otracker1=search&iid=dc8fa9af-4245-46ff-8ab7-0799599cbc83.AIOGQXYC5ACXQE5Z.SEARCH&ssid=sw01cqmkgw0000001700214625750&qH=dd8c3f9e0ee58493,Kundancomputers 2 APU Dual Core A4 (2 GB DDR3/500 GB/Android v4.0 (Ice Cream Sandwich)/8 GB/54 Inch Screen/computers)  (White),,"50,678",6% off,1,https://rukminim2.flixcart.com/image/416/416/xif0q/allinone-desktop/o/8/y/90-ecosys-original-imagqf9mb2gtny9k.jpeg?q=70,https://rukminim2.flixcart.com/image/416/416/xif0q/allinone-desktop/o/8/y/90-ecosys-original-imagqf9mb2gtny9k.jpeg?q=70,"<div class=""_3a9CI2"">Highlights</div><div class=""_2418kt""><ul><li class=""_21Ahn-"">Android v4.0 (Ice Cream Sandwich)</li><li class=""_21Ahn-"">AMD APU Dual Core A4</li><li class=""_21Ahn-"">HDD Capacity 500 GB</li><li class=""_21Ahn-"">RAM 2 GB DDR3</li><li class=""_21Ahn-"">54 inch Display</li></ul></div>"
1700214654-7,https://www.flipkart.com/search?q=desktop+computers&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,Assembled CI5 Desktop Computer Core i5 (4 GB DDR4/500 G...,https://www.flipkart.com/assembled-ci5-desktop-computer-core-i5-4-gb-ddr4-500-gb-windows-10-home-1-gb-15-6-inch-screen-ci510th-home-15-6-screen-core-i5-4-gb-500-hdd/p/itmf31b00fe5b977?pid=AIOG53D55VWRH5MH&lid=LSTAIOG53D55VWRH5MHEI59N6&marketplace=FLIPKART&q=desktop+computers&store=6bo%2Fnl4%2Figk&srno=s_12_474&otracker=search&otracker1=search&iid=dc8fa9af-4245-46ff-8ab7-0799599cbc83.AIOG53D55VWRH5MH.SEARCH&ssid=sw01cqmkgw0000001700214625750&qH=dd8c3f9e0ee58493,Assembled CI5 Desktop Computer Core i5 (4 GB DDR4/500 GB/Windows 10 Home/1 GB/15.6 Inch Screen/CI510TH Desktop Computer Core i5 (4 GB DDR4/500 GB/Windows 10 Home/15.6 Inch Screen/core i5|4 GB| 500 GB HDD))  (Black),,"12,270",67% off,"Cpu,LED,keyboard,mouse, wifi dongle, cable",https://rukminim2.flixcart.com/image/416/416/kr9jafk0/allinone-desktop/s/c/l/ci510th-desktop-computer-core-i5-4-gb-ddr4-500-gb-windows-10-original-imag53d4nd6tvrx7.jpeg?q=70,https://rukminim2.flixcart.com/image/416/416/kr9jafk0/allinone-desktop/s/c/l/ci510th-desktop-computer-core-i5-4-gb-ddr4-500-gb-windows-10-original-imag53d4nd6tvrx7.jpeg?q=70,"<div class=""_3a9CI2"">Highlights</div><div class=""_2418kt""><ul><li class=""_21Ahn-"">Windows 10 Home</li><li class=""_21Ahn-"">Intel Core i5</li><li class=""_21Ahn-"">HDD Capacity 500 GB</li><li class=""_21Ahn-"">RAM 4 GB DDR4</li><li class=""_21Ahn-"">15.6 inch Display</li></ul></div>"
1700214657-8,https://www.flipkart.com/search?q=desktop+computers&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,ASUS M3402WFA Ryzen 3 Dual Core (8 GB LPDDR5/Windows 11...,https://www.flipkart.com/asus-m3402wfa-ryzen-3-dual-core-8-gb-lpddr5-windows-11-home-23-8-inch-screen-m3402wfa-kba016ws/p/itm1039705d4176f?pid=AIOGT8CB7PHH3GUW&lid=LSTAIOGT8CB7PHH3GUWNT3Z1N&marketplace=FLIPKART&q=desktop+computers&store=6bo%2Fnl4%2Figk&srno=s_12_473&otracker=search&otracker1=search&iid=dc8fa9af-4245-46ff-8ab7-0799599cbc83.AIOGT8CB7PHH3GUW.SEARCH&ssid=sw01cqmkgw0000001700214625750&qH=dd8c3f9e0ee58493,ASUS M3402WFA Ryzen 3 Dual Core (8 GB LPDDR5/Windows 11 Home/23.8 Inch Screen/M3402WFA-KBA016WS)  (Black),,"52,500",19% off,"AIO, Adaptor: ø4.5, 90W AC Adapter, User Guide Keyboard & Mouse: Wireless grey keyboard || Wireless optical mouse",https://rukminim2.flixcart.com/image/416/416/xif0q/allinone-desktop/p/k/g/m3402wfa-kba016ws-asus-original-imagt8c6wz5rdrdq.jpeg?q=70,https://rukminim2.flixcart.com/image/416/416/xif0q/allinone-desktop/p/k/g/m3402wfa-kba016ws-asus-original-imagt8c6wz5rdrdq.jpeg?q=70,"<div class=""_3a9CI2"">Highlights</div><div class=""_2418kt""><ul><li class=""_21Ahn-"">Windows 11 Home</li><li class=""_21Ahn-"">AMD Ryzen 3 Dual Core</li><li class=""_21Ahn-"">RAM 8 GB LPDDR5</li><li class=""_21Ahn-"">23.8 inch Display</li></ul></div>"
1700214660-9,https://www.flipkart.com/search?q=desktop+computers&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,FusionIT Assembled Tower 2000 Core i7 (16 GB DDR4/1 TB/...,https://www.flipkart.com/fusionit-assembled-tower-2000-core-i7-16-gb-ddr4-1-tb-128-ssd-windows-11-home-2-gb-20-inch-screen-assembled-cpu-ms-office/p/itm2723c6092cff7?pid=AIOGQG8ZVZAJX4DZ&lid=LSTAIOGQG8ZVZAJX4DZRNLWBJ&marketplace=FLIPKART&q=desktop+computers&store=6bo%2Fnl4%2Figk&srno=s_12_472&otracker=search&otracker1=search&iid=dc8fa9af-4245-46ff-8ab7-0799599cbc83.AIOGQG8ZVZAJX4DZ.SEARCH&ssid=sw01cqmkgw0000001700214625750&qH=dd8c3f9e0ee58493,"FusionIT Assembled Tower 2000 Core i7 (16 GB DDR4/1 TB/128 GB SSD/Windows 11 Home/2 GB/20 Inch Screen/Assembled Tower CPU) with MS Office  (Black, 36 cm x 32 cm x 19 cm, 4 kg)",,"18,770",58% off,CPU Tower,https://rukminim2.flixcart.com/image/416/416/xif0q/allinone-desktop/d/f/8/assembled-tower-cpu-fusionit-original-imagqgcjhshdexby.jpeg?q=70,https://rukminim2.flixcart.com/image/416/416/xif0q/allinone-desktop/d/f/8/assembled-tower-cpu-fusionit-original-imagqgcjhshdexby.jpeg?q=70,"<div class=""_3a9CI2"">Highlights</div><div class=""_2418kt""><ul><li class=""_21Ahn-"">Windows 11 Home</li><li class=""_21Ahn-"">Intel Core i7</li><li class=""_21Ahn-"">HDD Capacity 1 TB</li><li class=""_21Ahn-"">RAM 16 GB DDR4</li><li class=""_21Ahn-"">20 inch Display</li><li class=""_21Ahn-"">2021</li></ul></div>"
1700214663-10,https://www.flipkart.com/search?q=desktop+computers&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&page=12,ZOONIS BUDGET Core 2 Duo (4 GB DDR3/500 GB/Windows 7 Ho...,https://www.flipkart.com/zoonis-budget-core-2-duo-4-gb-ddr3-500-gb-windows-7-home-premium-15-inch-screen-c2d-4gb-ram-500gb-hdd-win-7-wifi/p/itm2d6dcc34dcf23?pid=AIOGFQD29VVCGSQG&lid=LSTAIOGFQD29VVCGSQGS4WUWB&marketplace=FLIPKART&q=desktop+computers&store=6bo%2Fnl4%2Figk&srno=s_12_471&otracker=search&otracker1=search&iid=dc8fa9af-4245-46ff-8ab7-0799599cbc83.AIOGFQD29VVCGSQG.SEARCH&ssid=sw01cqmkgw0000001700214625750&qH=dd8c3f9e0ee58493,ZOONIS BUDGET Core 2 Duo (4 GB DDR3/500 GB/Windows 7 Home Premium/15 Inch Screen/C2D/4GB RAM/500GB HDD/WIN-7/WIFI)  (Black),2.3,"10,999",50% off,cpu/led/keyboard mouse,https://rukminim2.flixcart.com/image/416/416/kmxsakw0/allinone-desktop/g/j/i/c2d-4gb-ram-500gb-hdd-win-7-wifi-zoonis-original-imagfqdfgbfnbhzq.jpeg?q=70,https://rukminim2.flixcart.com/image/416/416/kmxsakw0/allinone-desktop/g/j/i/c2d-4gb-ram-500gb-hdd-win-7-wifi-zoonis-original-imagfqdfgbfnbhzq.jpeg?q=70,"<div class=""_3a9CI2"">Highlights</div><div class=""_2418kt""><ul><li class=""_21Ahn-"">Windows 7 Home Premium</li><li class=""_21Ahn-"">Intel Core 2 Duo</li><li class=""_21Ahn-"">HDD Capacity 500 GB</li><li class=""_21Ahn-"">RAM 4 GB DDR3</li><li class=""_21Ahn-"">15 inch Display</li></ul></div>"
